station_id,year_month,NO2_sat
pt_30,2023_11,38.810654
pt_31,2023_11,38.810654
pt_32,2023_11,38.810654
pt_33,2023_11,38.810654
pt_34,2023_11,38.810654
pt_35,2023_11,38.810654
pt_36,2023_11,38.810654
pt_37,2023_11,38.810654
pt_38,2023_11,38.810654
pt_39,2023_11,38.810654
pt_40,2023_11,38.810654
pt_41,2023_11,38.810654
pt_42,2023_11,38.810654
pt_43,2023_11,38.810654
pt_44,2023_11,38.810654
pt_45,2023_11,38.810654
pt_46,2023_11,38.810654
pt_47,2023_11,38.810654
pt_48,2023_11,38.810654
pt_49,2023_11,38.810654
pt_50,2023_11,38.810654
pt_51,2023_11,38.810654
pt_52,2023_11,38.810654
pt_53,2023_11,38.810654
pt_54,2023_11,38.810654
pt_55,2023_11,38.810654
pt_56,2023_11,38.810654
pt_57,2023_11,38.810654
pt_58,2023_11,38.810654
pt_59,2023_11,38.810654
pt_60,2023_11,38.810654
pt_61,2023_11,38.810654
pt_62,2023_11,38.810654
pt_63,2023_11,38.810654
pt_64,2023_11,38.810654
pt_65,2023_11,38.810654
pt_66,2023_11,38.810654
pt_67,2023_11,38.810654
pt_68,2023_11,38.810654
pt_69,2023_11,38.810654
pt_70,2023_11,38.810654
pt_71,2023_11,38.810654
pt_72,2023_11,38.810654
pt_1,2023_12,46.453934
pt_2,2023_12,46.453934
pt_3,2023_12,46.453934
pt_4,2023_12,46.453934
pt_5,2023_12,46.453934
pt_6,2023_12,46.453934
pt_7,2023_12,46.453934
pt_8,2023_12,46.453934
pt_9,2023_12,46.453934
pt_10,2023_12,46.453934
pt_11,2023_12,46.453934
pt_12,2023_12,46.453934
pt_13,2023_12,46.453934
pt_14,2023_12,46.453934
pt_15,2023_12,46.453934
pt_16,2023_12,46.453934
pt_17,2023_12,46.453934
pt_18,2023_12,46.453934
pt_19,2023_12,46.453934
pt_20,2023_12,46.453934
pt_21,2023_12,46.453934
pt_22,2023_12,46.453934
pt_23,2023_12,46.453934
pt_24,2023_12,46.453934
pt_25,2023_12,46.453934
pt_26,2023_12,46.453934
pt_27,2023_12,46.453934
pt_28,2023_12,46.453934
pt_29,2023_12,46.453934
pt_30,2023_12,46.453934
pt_31,2023_12,46.453934
pt_32,2023_12,46.453934
pt_33,2023_12,46.453934
pt_34,2023_12,46.453934
pt_35,2023_12,46.453934
pt_36,2023_12,46.453934
pt_37,2023_12,46.453934
pt_38,2023_12,46.453934
pt_39,2023_12,46.453934
pt_40,2023_12,46.453934
pt_41,2023_12,46.453934
pt_42,2023_12,46.453934
pt_43,2023_12,46.453934
pt_44,2023_12,46.453934
pt_45,2023_12,46.453934
pt_46,2023_12,46.453934
pt_47,2023_12,46.453934
pt_48,2023_12,46.453934
pt_49,2023_12,46.453934
pt_50,2023_12,46.453934
pt_51,2023_12,46.453934
pt_52,2023_12,46.453934
pt_53,2023_12,46.453934
pt_54,2023_12,46.453934
pt_55,2023_12,46.453934
pt_56,2023_12,46.453934
pt_57,2023_12,46.453934
pt_58,2023_12,46.453934
pt_59,2023_12,46.453934
pt_60,2023_12,46.453934
pt_61,2023_12,46.453934
pt_62,2023_12,46.453934
pt_63,2023_12,46.453934
pt_64,2023_12,46.453934
pt_65,2023_12,46.453934
pt_66,2023_12,46.453934
pt_67,2023_12,46.453934
pt_68,2023_12,46.453934
pt_69,2023_12,46.453934
pt_70,2023_12,46.453934
pt_71,2023_12,46.453934
pt_72,2023_12,46.453934
pt_1,2024_01,43.460712
pt_2,2024_01,43.460712
pt_3,2024_01,43.460712
pt_4,2024_01,43.460712
pt_5,2024_01,43.460712
pt_6,2024_01,43.460712
pt_7,2024_01,43.460712
pt_8,2024_01,43.460712
pt_9,2024_01,43.460712
pt_10,2024_01,43.460712
pt_11,2024_01,43.460712
pt_12,2024_01,43.460712
pt_13,2024_01,43.460712
pt_14,2024_01,43.460712
pt_15,2024_01,43.460712
pt_16,2024_01,43.460712
pt_17,2024_01,43.460712
pt_18,2024_01,43.460712
pt_19,2024_01,43.460712
pt_20,2024_01,43.460712
pt_21,2024_01,43.460712
pt_22,2024_01,43.460712
pt_23,2024_01,43.460712
pt_24,2024_01,43.460712
pt_25,2024_01,43.460712
pt_26,2024_01,43.460712
pt_27,2024_01,43.460712
pt_28,2024_01,43.460712
pt_29,2024_01,43.460712
pt_30,2024_01,43.460712
pt_31,2024_01,43.460712
pt_32,2024_01,43.460712
pt_33,2024_01,43.460712
pt_34,2024_01,43.460712
pt_35,2024_01,43.460712
pt_36,2024_01,43.460712
pt_37,2024_01,43.460712
pt_38,2024_01,43.460712
pt_39,2024_01,43.460712
pt_40,2024_01,43.460712
pt_41,2024_01,43.460712
pt_42,2024_01,43.460712
pt_43,2024_01,43.460712
pt_44,2024_01,43.460712
pt_45,2024_01,43.460712
pt_46,2024_01,43.460712
pt_47,2024_01,43.460712
